Installatie_name;schillabel_name;ProductType_name;AS_Name;Input_name;P_vol;P_cap;SPF_b;SPF_p;eEffect_cap
aangepast;x;RV;geen;geen;0.5;0.5;1;1;0
BasisHWP_w;A;RV;MTAS;elektriciteit;0.65;0.4;4.25;4.25;0
BasisHWP_w;B;RV;MTAS;elektriciteit;0.63;0.4;4.25;4.25;0
BasisHWP_w;C;RV;MTAS;elektriciteit;0.59;0.4;4.25;4.25;0
BasisHWP_w;D;RV;MTAS;elektriciteit;0.52;0.4;4.25;4.25;0
BasisHWP_w;E;RV;MTAS;elektriciteit;0.47;0.4;4.25;4.25;0
BasisHWP_w;F;RV;MTAS;elektriciteit;0.43;0.4;4.25;4.25;0
BasisHWP_w;G;RV;MTAS;elektriciteit;0.42;0.4;4.25;4.25;0
BasisHWP_w;x;RV;MTAS;elektriciteit;0.42;0.4;4.25;4.25;0
Bioketel;x;RV;MTAS;biomassa;0.7;0.6;0.87;0.87;0.014
eWP_bw;A;RV;LTAS;elektriciteit;0.52;0.8;5.63;5.63;0
eWP_bw;B;RV;LTAS;elektriciteit;0.49;0.8;4.07;4.07;0
eWP_bw;C;RV;LTAS;elektriciteit;0.47;0.8;3.61;3.61;0
eWP_bw;x;RV;LTAS;elektriciteit;0.47;0.8;3.61;3.61;0
eWP_ll;A;RV;LTAS;elektriciteit;0.52;0.8;4.27;4.27;0
eWP_ll;B;RV;LTAS;elektriciteit;0.49;0.8;4.28;4.28;0
eWP_ll;C;RV;LTAS;elektriciteit;0.47;0.8;3.66;3.66;0
eWP_ll;x;RV;LTAS;elektriciteit;0.47;0.8;3.66;3.66;0
eWP_lw;A;RV;LTAS;elektriciteit;0.52;0.8;4.66;4.66;0
eWP_lw;B;RV;LTAS;elektriciteit;0.49;0.8;3.81;3.81;0
eWP_lw;C;RV;LTAS;elektriciteit;0.47;0.8;3.39;3.39;0
eWP_lw;x;RV;LTAS;elektriciteit;0.38;0.8;3.39;3.39;0
EWV;A;RV;geen;elektriciteit;0.52;0.6;1;1;0
EWV;B;RV;geen;elektriciteit;0.49;0.6;1;1;0
EWV;C;RV;geen;elektriciteit;0.47;0.6;1;1;0
EWV;x;RV;geen;elektriciteit;0.47;0.6;1;1;0
gebiedsoptie;x;RV;geen;geen;0.5;0.5;1;1;0
geen;x;RV;geen;geen;0.5;0.5;1;1;0
H2R;x;RV;MTAS;waterstof;0.7;0.6;1.1;1.1;0.014
hHR;x;RV;MTAS;gas;0.7;0.6;1.04;1.04;0.014
HR;x;RV;MTAS;gas;0.7;0.6;1.04;1.04;0.014
IR;A;RV;geen;elektriciteit;0.9;0.5;2.25;1;0
IR;B;RV;geen;elektriciteit;0.8;0.5;2.25;1;0
IR;x;RV;geen;elektriciteit;0.5;0.5;2.25;1;0
mWKK;x;RV;MTAS;gas;0.7;0.6;0.83;0.73;0
niks;x;RV;geen;geen;0.5;0.5;1;1;0
Oliekachel;x;RV;geen;olie;0.7;0.6;0.8;0.8;0
Pellet;x;RV;geen;biomassa;0.7;0.6;0.85;0.85;0
VR;x;RV;MTAS;gas;0.7;0.6;1.04;1.04;0.014
dummy;x;RV;geen;elektriciteit;0.5;0.5;2.1;1.1;0
